酒店名,星级,酒店ID,评分,点评数,评语,价格,原价,房型名,房型描述,封面图,地址
昆明豪生Life酒店(昆明火车站双桥夜市风情街店),4,121048794,4.8,"2,766条点评",超棒,¥439,¥505,舒适大床房|金可儿舒睡床垫·茶点·城景mini吧,舒适大床房|金可儿舒睡床垫·茶点·城景mini吧 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/0206312000ekkwgf12552_R_600_600_R5_D.jpg_.webp,日新路1531号
昆明盘龙希尔顿惠庭酒店,4,125753813,4.8,"1,858条点评",超棒,¥498,,舒适大床房（智能马桶+电视投屏+冰箱微波炉）,舒适大床房（智能马桶+电视投屏+冰箱微波炉） 1张1.5米双人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0205c12000i0j04ks9FAD_R_600_600_R5_D.jpg_.webp,白云路416号
昆明豪生Club酒店(万象城菊华地铁站店),4,133974085,4.7,60条点评,超棒,¥345,¥432,Busines丨雅致高级大床房-零压床垫-全屋智能-小冰箱,Busines丨雅致高级大床房-零压床垫-全屋智能-小冰箱 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0t12000slmfjotD3AE_R_600_600_R5_D.jpg_.webp,金马路与凉亭中路交叉口北约50米
美豪酒店(昆明火车站北京路北广场店),3,112893307,4.7,"2,653条点评",超棒,¥324,¥652,对望·都市静逸大床房（徕芬吹风机+助眠双枕）,对望·都市静逸大床房（徕芬吹风机+助眠双枕） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1n12000cb3idvk54F3_R_600_600_R5_D.jpg_.webp,北京路147号1楼
云曼轻奢酒店(昆明学院富康城购物中心店),3,80314494,4.7,"1,025条点评",超棒,¥115,¥242,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌）,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌） 1张1.51米大床 [免费取消],https://dimg04.c-ctrip.com/images/02031120008xrgjza16E7_R_600_600_R5_D.jpg_.webp,阿拉街道浦新路骏信国际汽配城一期A4幢2楼
启帆酒店(昆明火车站环城南路地铁站店),3,1406094,4.6,706条点评,很好,¥178,¥245,途居丨曼享大床房【干湿分离＋亲肤布草＋全屋采光】,途居丨曼享大床房【干湿分离＋亲肤布草＋全屋采光】 1张1.8米大床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/1mc1a12000szupwns9504_R_600_600_R5_D.jpg_.webp,春城路189号
926嘉邸酒店(昆明火车站双桥夜市店),2,133913238,4.4,196条点评,,¥130,¥208,A.T.HOUSE海棠未眠大床房（一次性马桶垫+干湿分离）,A.T.HOUSE海棠未眠大床房（一次性马桶垫+干湿分离） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1912000ryb7dyb303E_R_600_600_R5_D.jpg_.webp,关上街道办事处双桥社区日新路1578号
如家UP华驿国际酒店(昆明长水国际机场店),3,134034244,4.8,358条点评,超棒,¥176,¥239,【UP简眠大床房】智能马桶+语音客控+零压床垫,【UP简眠大床房】智能马桶+语音客控+零压床垫 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/0204l12000rzv917fCD94_R_600_600_R5_D.jpg_.webp,长水街道办事处板桥社区居委会云桥医院东北约400米
昆明悦泊酒店(昆明老街南屏步行街店),2,60667173,4.6,953条点评,很好,¥269,¥599,四合院舒适大床房,四合院舒适大床房 1张1.8米大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/200u1g000001hat6w2A66_R_600_600_R5_D.jpg_.webp,甬道街西卷洞巷1号
龚禧里·GAME电竞酒店(金马碧鸡坊弥勒寺地铁站店),3,79563239,4.6,"1,191条点评",很好,¥193,¥212,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统 1张1.5米双人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0203p120009kjx3v9BA10_R_600_600_R5_D.jpg_.webp,西坝路22号
随云居loft潮奢精品美宿(万达双塔店),2,113357045,4.7,766条点评,超棒,¥150,¥294,云享LOFT城景豪华榻榻米大床房（空调+洗衣机+冰箱+电动晾衣架+液晶电视+榻榻米茶具）,云享LOFT城景豪华榻榻米大床房（空调+洗衣机+冰箱+电动晾衣架+液晶电视+榻榻米茶具） 1张1.8米大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/1mc0k12000di9szxo9B7F_R_600_600_R5_D.jpg_.webp,南博路3号复地云极云邸苑1栋19层1935
云南滇池温泉花园国际大酒店,4,425858,4.6,"2,308条点评",很好,¥458,,温馨双床房（观景阳台）,温馨双床房（观景阳台） 2张1.2米单人床 [免费取消],https://dimg04.c-ctrip.com/images/1mc6e12000npi552c1055_R_600_600_R5_D.jpg_.webp,滇池路1316号
滇屿·云境度假酒店(昆明滇池南亚风情第壹城店),4,129731723,4.8,"1,867条点评",超棒,¥399,¥493,滇居·静舍大床房（全屋智能客控|精油加湿器）,滇居·静舍大床房（全屋智能客控|精油加湿器） 1张1.8米大床 [订单确认后1小时内免费取消],https://dimg04.c-ctrip.com/images/1mc6o12000sghzohs5E6E_R_600_600_R5_D.jpg_.webp,长青路绿地海珀澜庭广场二期6幢101
宜尚酒店(昆明高铁南站大学城店),4,134186105,4.8,315条点评,超棒,¥228,¥458,Cool高空·景观大床房（65寸电视投屏+迷你小冰箱）,Cool高空·景观大床房（65寸电视投屏+迷你小冰箱） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0912000s5trf6dA3B8_R_600_600_R5_D.jpg_.webp,韶光街113号涌鑫哈佛昆明之窗4栋
